comparison_id,run_id,behavior_name,technique_id,wazuh_rule_id,detection_id,detection_title,total_score,static_verdict,wazuh_fired,sigma_matched,behavioral_verdict,tuning_notes,compared_at
135,RUN-T1484-001-20260727-225148,Malicious GPO creation / modification,T1484.001,60230,93,Powerview Add-DomainObjectAcl DCSync AD Extend Right,0.2286,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:51:49.455600+00:00 against current Wazuh catalog and Sigma detection 93. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:51:49.455636+00:00
133,RUN-T1484-20260727-225122,Unconstrained delegation abuse,T1484,60229,853,Potential Unconstrained Delegation Discovery Via Get-ADComputer - ScriptBlock,0.3,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:51:24.049558+00:00 against current Wazuh catalog and Sigma detection 853. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:51:24.049594+00:00
131,RUN-T1484-20260727-225039,Unconstrained delegation abuse,T1484,60229,853,Potential Unconstrained Delegation Discovery Via Get-ADComputer - ScriptBlock,0.3,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:50:40.437641+00:00 against current Wazuh catalog and Sigma detection 853. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:50:40.437680+00:00
129,RUN-T1003-003-20260727-225014,NTDS.dit credential extraction,T1003.003,,4,Ntdsutil Abuse,0.0,NO_CONTENT_OVERLAP,0,0,NO_DETECTION_IN_EITHER,"Re-checked 2026-07-27T22:50:16.285725+00:00 against current Wazuh catalog and Sigma detection 4. wazuh_fired=False, sigma_matched=False.",2026-07-27T22:50:16.285837+00:00
127,RUN-T1087-002-20260727-224950,LDAP domain reconnaissance,T1087.002,,101,Potential AD User Enumeration From Non-Machine Account,0.0,NO_CONTENT_OVERLAP,0,0,NO_DETECTION_IN_EITHER,"Re-checked 2026-07-27T22:49:51.790187+00:00 against current Wazuh catalog and Sigma detection 101. wazuh_fired=False, sigma_matched=False.",2026-07-27T22:49:51.790271+00:00
125,RUN-T1047-20260727-224924,Remote WMI execution,T1047,,68,New Firewall Rule Added In Windows Firewall Exception List Via WmiPrvSE.EXE,0.0,NO_CONTENT_OVERLAP,0,0,NO_DETECTION_IN_EITHER,"Re-checked 2026-07-27T22:49:25.731051+00:00 against current Wazuh catalog and Sigma detection 68. wazuh_fired=False, sigma_matched=False.",2026-07-27T22:49:25.731138+00:00
123,RUN-T1021-006-20260727-224846,Remote WinRM execution,T1021.006,60106,105,Hacktool Ruler,0.2333,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:48:47.562838+00:00 against current Wazuh catalog and Sigma detection 105. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:48:47.562891+00:00
121,RUN-T1558-003-20260727-224804,Targeted SPN set + Kerberoast,T1558.003,60229,103,Active Directory User Backdoors,0.55,PARTIAL_OVERLAP,1,,EVALUATOR_UNSUPPORTED,"Re-checked 2026-07-27T22:48:05.742813+00:00 against current Wazuh catalog and Sigma detection 103. wazuh_fired=True, sigma_matched=None.",2026-07-27T22:48:05.742881+00:00
119,RUN-T1098-20260727-224735,Resource-Based Constrained Delegation abuse,T1098,60229,78,Potential Active Directory Reconnaissance/Enumeration Via LDAP,0.2333,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:47:36.734091+00:00 against current Wazuh catalog and Sigma detection 78. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:47:36.734307+00:00
117,RUN-T1098-20260727-224624,AdminSDHolder persistence,T1098,60229,93,Powerview Add-DomainObjectAcl DCSync AD Extend Right,0.2286,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:46:25.613009+00:00 against current Wazuh catalog and Sigma detection 93. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:46:25.613045+00:00
115,RUN-T1543-003-20260727-224212,Malicious service creation on a domain system,T1543.003,61138,293,PsExec Service Installation,0.2286,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:42:12.689296+00:00 against current Wazuh catalog and Sigma detection 293. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:42:12.689344+00:00
113,RUN-T1543-003-20260727-224135,Malicious service creation on a domain system,T1543.003,61138,293,PsExec Service Installation,0.2286,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:41:36.630833+00:00 against current Wazuh catalog and Sigma detection 293. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:41:36.630882+00:00
111,RUN-T1543-003-20260727-224126,Malicious service creation on a domain system,T1543.003,61138,293,PsExec Service Installation,0.2286,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:41:27.222535+00:00 against current Wazuh catalog and Sigma detection 293. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:41:27.222595+00:00
